name,provider,rocket,status,launch_time,pad,mission_type,year,month,day,day_of_week,hour,provider_id,rocket_id,mission_type_id,pad_id
Sputnik 8K71PS | Sputnik-1,RVSN USSR,Sputnik 8K71PS,Launch Successful,1957-10-04 19:28:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1957,10,4,Friday,19,40,282,7,83
Thor-DM21 Ablestar | Courier 1A,US Air Force,Thor-DM21 Ablestar,Launch Failure,1960-08-18 19:58:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1960,8,18,Thursday,19,48,296,7,58
Vostok | Korabl-Sputnik 2,RVSN USSR,Vostok,Launch Successful,1960-08-19 08:44:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,8,19,Friday,8,40,331,7,83
Thor-DM18 Agena-A | Discoverer 15,US Air Force,Thor-DM18 Agena-A,Launch Successful,1960-09-13 22:14:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1960,9,13,Tuesday,22,48,295,7,59
Atlas-D Able | Pioneer P-30,General Dynamics,Atlas-D Able,Launch Failure,1960-09-25 15:13:00+00:00,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,1960,9,25,Sunday,15,17,42,7,22
Thor-DM21 Ablestar | Courier 1B,US Air Force,Thor-DM21 Ablestar,Launch Successful,1960-10-04 17:50:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1960,10,4,Tuesday,17,48,296,7,58
Molniya | 1M n†­1 (Marsnik 1),RVSN USSR,Molniya,Launch Failure,1960-10-10 14:27:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,10,10,Monday,14,40,194,7,83
Atlas-LV3 Agena-A | Samos 1,General Dynamics,Atlas-LV3 Agena-A,Launch Failure,1960-10-11 20:33:00+00:00,"SLC-3W, Vandenberg AFB, California, USA",Unknown,1960,10,11,Tuesday,20,17,58,7,68
Molniya | 1M n†­2 (Marsnik 2),RVSN USSR,Molniya,Launch Failure,1960-10-14 13:51:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,10,14,Friday,13,40,194,7,83
Thor DM-21 Agena-B | Discoverer 16,US Air Force,Thor DM-21 Agena-B,Launch Failure,1960-10-26 20:26:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1960,10,26,Wednesday,20,48,292,7,60
Thor DM-21 Agena-B | Discoverer 17,US Air Force,Thor DM-21 Agena-B,Launch Successful,1960-11-12 20:43:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1960,11,12,Saturday,20,48,292,7,59
